E,W,S
0.25,0.03748,0.5645
0.5,0.02747,0.5964
0.75,0.02533,0.6077
1,0.02384,0.613
1.25,0.0236,0.6187
1.5,0.02531,0.6148
1.75,0.02654,0.6123
2,0.03054,0.6039
2.25,0.0318,0.6024
2.5,0.03553,0.5933
2.75,0.03654,0.5926
3,0.03906,0.5863
3.25,0.03958,0.5866
3.5,0.04122,0.5777
3.75,0.04005,0.5751
4,0.04044,0.5782
4.25,0.03863,0.5748
4.5,0.03872,0.5784
4.75,0.03921,0.5778
5,0.03803,0.5734
5.25,0.03727,0.5745
5.5001,0.03785,0.5737
5.7501,0.03546,0.577
6.0001,0.03685,0.5766
6.2501,0.03541,0.5757
6.5001,0.03269,0.5765
6.7501,0.03139,0.5815
7.0001,0.03112,0.5818
7.2501,0.03078,0.577
7.5001,0.03196,0.5794
7.7501,0.03161,0.5811
8.0001,0.02873,0.58
8.2501,0.02906,0.5867
8.5001,0.02964,0.5804
8.7501,0.02955,0.5829
9.0001,0.03097,0.5762
9.2502,0.02906,0.581
9.5002,0.03025,0.5838
9.7502,0.0291,0.5832
10.0002,0.02878,0.5804
10.2502,0.02753,0.5828
10.5002,0.02906,0.5814
10.7502,0.02799,0.5802
11.0002,0.0278,0.5832
11.2502,0.02724,0.5806
11.5002,0.02652,0.5837
11.7503,0.02723,0.586
12.0003,0.02835,0.5829
12.2503,0.02655,0.5822
12.5003,0.02734,0.5846
12.7503,0.02763,0.5827
13.0003,0.02656,0.5829
13.2503,0.02593,0.5881
13.5003,0.02702,0.5853
13.7504,0.02718,0.5874
14.0004,0.02721,0.5816
14.2504,0.0269,0.5823
14.5004,0.02722,0.585
14.7504,0.02723,0.5834
15.0004,0.02695,0.5808
15.5,0.02592,0.5896
16,0.02631,0.5855
16.5,0.02543,0.5867
17,0.02686,0.5858
17.5,0.0255,0.5894
18,0.02513,0.591
18.5,0.02661,0.5841
19,0.02575,0.5842
19.5,0.02404,0.586
20,0.02647,0.5859
20.5,0.0268,0.5857
